,Unnamed: 0,objid,x,y,ra,dec,flux_z,original_image
17160,17160,J033229.75-274911.0,8066.224,2339.894,53.1239335,-27.8197265,0.00396252,h_s_sect23_v2.0_drz_img.fits
17168,17168,J033229.75-274926.3,8063.321999999999,1829.121,53.12397120000001,-27.823984799999998,0.00369624,h_s_sect23_v2.0_drz_img.fits
17171,17171,J033229.75-274855.1,8062.473000000001,2870.877,53.1239711,-27.8153015,0.00284949,h_s_sect23_v2.0_drz_img.fits
17187,17187,J033229.77-274651.8,8054.879,6979.539000000001,53.12404620000001,-27.781034899999998,0.00347411,h_s_sect23_v2.0_drz_img.fits
17192,17192,J033229.78-274756.6,8049.8240000000005,4819.39,53.1240934,-27.799068199999997,0.0044670000000000005,h_s_sect23_v2.0_drz_img.fits
17204,17204,J033229.80-274812.7,8044.084,4284.862,53.12415,-27.8035348,0.00296885,h_s_sect23_v2.0_drz_img.fits
17208,17208,J033229.80-274919.2,8043.304,2066.215,53.12415970000001,-27.8220098,0.0222468,h_s_sect23_v2.0_drz_img.fits
17210,17210,J033229.80-275020.9,8043.138000000001,10.835999999999999,53.124159899999995,-27.839126500000003,0.00597651,h_s_sect23_v2.0_drz_img.fits
17213,17213,J033229.80-274749.1,8042.361999999999,5069.3859999999995,53.1241688,-27.7969848,0.00359691,h_s_sect23_v2.0_drz_img.fits
17219,17219,J033229.80-274633.7,8040.738,7582.854,53.1241779,-27.776043100000003,0.00248288,h_s_sect23_v2.0_drz_img.fits
17222,17222,J033229.81-274719.5,8038.44,6058.078,53.124215799999995,-27.7887515,0.00792682,h_s_sect23_v2.0_drz_img.fits
17224,17224,J033229.81-274648.8,8038.345,7080.139,53.1242062,-27.7802265,0.00760935,h_s_sect23_v2.0_drz_img.fits
17228,17228,J033229.81-274751.4,8037.057,4992.363,53.1242064,-27.7976265,0.0028808,h_s_sect23_v2.0_drz_img.fits
17234,17234,J033229.82-274743.3,8033.984,5263.656999999999,53.1242441,-27.7953682,0.00435929,h_s_sect23_v2.0_drz_img.fits
17242,17242,J033229.85-274720.1,8020.276,6036.562,53.1243759,-27.788926500000002,0.00825148,h_s_sect23_v2.0_drz_img.fits
17247,17247,J033229.86-274640.9,8016.857,7343.944,53.124404000000006,-27.778043199999995,0.00488774,h_s_sect23_v2.0_drz_img.fits
17250,17250,J033229.86-274801.2,8014.891,4666.05,53.1244326,-27.8003515,0.00434059,h_s_sect23_v2.0_drz_img.fits
17263,17263,J033229.87-274706.0,8009.111999999999,6508.228,53.12447950000001,-27.7849932,0.020681599999999998,h_s_sect23_v2.0_drz_img.fits
17266,17266,J033229.88-275003.4,8008.295,592.626,53.124480299999995,-27.8342848,0.00318519,h_s_sect23_v2.0_drz_img.fits
17276,17276,J033229.88-275012.2,8004.804,299.96299999999997,53.1245274,-27.8367265,0.00910719,h_s_sect23_v2.0_drz_img.fits
17278,17278,J033229.90-274820.5,8000.16,4025.1420000000003,53.1245552,-27.805693100000003,0.00285352,h_s_sect23_v2.0_drz_img.fits
17286,17286,J033229.91-274954.2,7995.275,900.715,53.1246027,-27.831718100000003,0.0031985,h_s_sect23_v2.0_drz_img.fits
17291,17291,J033229.91-274802.3,7991.791,4631.094,53.12463979999999,-27.800643100000006,0.00294201,h_s_sect23_v2.0_drz_img.fits
17295,17295,J033229.91-274900.1,7991.633000000001,2703.8940000000002,53.12464010000001,-27.816693100000006,0.00299802,h_s_sect23_v2.0_drz_img.fits
17309,17309,J033229.92-274829.9,7987.378000000001,3710.848,53.1246965,-27.808301500000002,0.00322274,h_s_sect23_v2.0_drz_img.fits
17314,17314,J033229.93-274721.8,7984.878000000001,5979.071,53.1247056,-27.7894015,0.00529282,h_s_sect23_v2.0_drz_img.fits
17315,17315,J033229.93-274928.3,7983.901,1764.76,53.1246968,-27.824501399999995,0.0120167,h_s_sect23_v2.0_drz_img.fits
17318,17318,J033229.93-274954.3,7982.83,897.08,53.124734600000004,-27.831751500000003,0.00322874,h_s_sect23_v2.0_drz_img.fits
17322,17322,J033229.94-274734.7,7980.604,5550.595,53.1247339,-27.792968100000003,0.0165169,h_s_sect23_v2.0_drz_img.fits
17327,17327,J033229.94-274757.2,7979.195,4801.948,53.1247623,-27.7992098,0.052516,h_s_sect23_v2.0_drz_img.fits
17336,17336,J033229.96-274929.4,7972.901,1728.0829999999999,53.1248193,-27.8247932,0.011148299999999998,h_s_sect23_v2.0_drz_img.fits
17339,17339,J033229.96-275008.9,7971.329000000001,409.58,53.124838399999994,-27.835801500000002,0.00349772,h_s_sect23_v2.0_drz_img.fits
17345,17345,J033229.96-274702.5,7969.7519999999995,6622.376,53.1248468,-27.7840348,0.00438139,h_s_sect23_v2.0_drz_img.fits
17347,17347,J033229.97-274909.1,7968.161999999999,2403.641,53.1248757,-27.819176399999996,0.00327427,h_s_sect23_v2.0_drz_img.fits
17354,17354,J033229.98-274702.9,7963.611999999999,6611.347,53.12490329999999,-27.7841348,0.0043393,h_s_sect23_v2.0_drz_img.fits
17355,17355,J033229.98-274904.6,7963.545999999999,2552.868,53.1248946,-27.817951500000003,0.0055809,h_s_sect23_v2.0_drz_img.fits
17360,17360,J033229.98-274839.5,7962.767,3390.921,53.12491329999999,-27.810968100000004,4.32673,h_s_sect23_v2.0_drz_img.fits
17375,17375,J033230.01-274940.7,7951.0869999999995,1350.271,53.1250361,-27.827976500000002,0.00519056,h_s_sect23_v2.0_drz_img.fits
17379,17379,J033230.01-274856.7,7949.575,2817.3070000000002,53.1250452,-27.8157515,0.00477319,h_s_sect23_v2.0_drz_img.fits
17383,17383,J033230.01-274632.3,7948.05,7630.347,53.125063299999994,-27.775643199999998,0.00297579,h_s_sect23_v2.0_drz_img.fits
17384,17384,J033230.01-274743.5,7947.981,5258.183000000001,53.1250731,-27.7954348,0.0041753,h_s_sect23_v2.0_drz_img.fits
17387,17387,J033230.02-274936.0,7946.728,1507.725,53.1250738,-27.8266515,0.00714713,h_s_sect23_v2.0_drz_img.fits
17392,17392,J033230.02-274726.8,7944.201,5813.825,53.125082400000004,-27.790776399999995,0.030207400000000002,h_s_sect23_v2.0_drz_img.fits
17394,17394,J033230.02-274837.1,7942.8769999999995,3470.907,53.12510160000001,-27.8103015,0.00343121,h_s_sect23_v2.0_drz_img.fits
17420,17420,J033230.05-274635.9,7931.991,7509.954000000001,53.1252045,-27.7766348,0.0019179000000000002,h_s_sect23_v2.0_drz_img.fits
17421,17421,J033230.05-274824.7,7931.774,3883.118,53.1252053,-27.806868199999997,0.00432208,h_s_sect23_v2.0_drz_img.fits
17427,17427,J033230.06-274649.7,7929.076999999999,7049.486,53.1252329,-27.780484899999998,0.00360139,h_s_sect23_v2.0_drz_img.fits
17435,17435,J033230.07-274634.8,7923.357,7548.257,53.1252894,-27.776326399999995,0.00307202,h_s_sect23_v2.0_drz_img.fits
17438,17438,J033230.07-275020.5,7922.268,24.177,53.1253002,-27.839026500000003,0.00297083,h_s_sect23_v2.0_drz_img.fits
17442,17442,J033230.07-274937.9,7921.257,1444.015,53.1253187,-27.8271848,0.00531522,h_s_sect23_v2.0_drz_img.fits
17446,17446,J033230.08-274950.1,7918.805,1036.4260000000002,53.125337699999996,-27.830593100000005,0.0027962,h_s_sect23_v2.0_drz_img.fits
17447,17447,J033230.08-274757.1,7916.99,4804.481,53.125355799999994,-27.799176399999997,0.00523771,h_s_sect23_v2.0_drz_img.fits
17449,17449,J033230.08-274948.0,7916.397,1108.674,53.1253471,-27.829968100000006,0.00651771,h_s_sect23_v2.0_drz_img.fits
17455,17455,J033230.09-275014.8,7912.710999999999,214.56599999999997,53.125384999999994,-27.837443100000005,0.00365887,h_s_sect23_v2.0_drz_img.fits
17457,17457,J033230.09-274717.6,7911.916,6120.689,53.1253838,-27.788218100000005,0.00286405,h_s_sect23_v2.0_drz_img.fits
