#CRTS ID	RA (J2000)	Dec (J2000)	UT Date	Mag	CSS images	SDSS	Others	Followed	Last	LC	FC	Classification
CSS151206:034008-212510	55.03372	-21.41957	20151206.22	18.55	1512060210194115642	no	11564	no	2016-10-11	11564	yes	SN mag 17,5
CSS100216:034010+391245	55.04233	39.21259	20100216.15	17.54	1002161380164181715	yes	18171	yes	2016-11-06	18171	yes	CV SDSS mag 20,7
CSS131108:034021-035001	55.08786	-3.83362	20131108.41	18.93	1311080040204127846	no	12784	no	2016-11-08	12784	yes	SN APMUKS_033749 mag 14,7
CSS091015:034033-025454	55.13569	-2.91487	20091015.38	17.36	910150040204143496	no	43496	no	2016-11-08	43496	yes	Blazar mag 19,5 CRATES_J034033-025453
CSS101029:034043+010333	55.18106	1.05928	20101029.44	17.34	1010291010204113719	yes	11371	yes	2016-11-09	11371	yes	SN 2010jf (La Sagra) SDSS mag
CSS131231:034049-220256	55.20421	-22.04879	20131231.20	18.34	1312310210194108321	no	10832	no	2016-10-11	10832	yes	AGN mag 18,9
CSS080929:034055+124621	55.22793	12.77258	20080929.43	19.70	809291120204122005	no	22005	yes	2016-11-09	22005	no	Ast?
CSS120919:034059-035047	55.24633	-3.84637	20120919.45	19.59	1209190040204133930	no	13393	no	2016-11-08	13393	yes	Ast?
CSS100108:034102+093524	55.25858	9.58993	20100108.15	19.80	1001081090204115993	yes	11599	yes	2016-11-09	11599	yes	AGN 1RXS_J034102,8+093523
CSS090929:034111-093547	55.29445	-9.59635	20090929.36	18.49	909290090204123331	no	23331	no	2016-11-07	23331	yes	SN 2009jt PQ mag 21
CSS131126:034200-121710	55.50107	-12.28617	20131126.31	19.88	1311260120204125478	yes	12547	no	2016-11-07	12547	yes	SN mag >21,5
CSS081025:034206+323707	55.52655	32.61874	20081025.37	17.66	810251320174127987	no	27987	yes	2016-11-06	27987	no	CV No DSS mag 21
CSS090919:034216+150216	55.56479	15.03768	20090919.38	19.53	909191150204116738	yes	16738	yes	2016-11-09	16738	yes	Ast/Var no SDSS
CSS091027:034216+385907	55.56781	38.98514	20091027.33	17.38	910271380164178051	yes	78051	yes	2016-11-06	78051	yes	Blazar mag 21 Class radio obj
CSS131224:034217-044319	55.57035	-4.72182	20131224.21	14.55	1312240040204116444	no	11644	no	2016-11-08	11644	yes	SN (LOSS) 2013gy mag 14,2
CSS110129:034225-043530	55.60250	-4.59155	20110129.17	18.81	1101290040204119818	no	11981	yes	2016-11-08	11981	yes	SN mag 20,3
CSS131126:034232-131419	55.63453	-13.23851	20131126.31	19.38	1311260120204112363	yes	11236	yes	2016-11-07	11236	yes	AGN? SDSS mag 20,8
CSS120315:034314+320045	55.80688	32.01257	20120315.15	18.12	1203151320184121250	no	12125	no	2016-11-06	12125	yes	YSO 2MASS_J034313
CSS090920:034333+064350	55.88645	6.73054	20090920.34	19.27	909201070204117390	no	17390	yes	2016-11-09	17390	yes	Var/AGN mag 20
CSS090329:034345+320359	55.93817	32.06633	20090329.11	17.62	903291320184120513	no	20513	yes	2016-11-06	20513	no	Var near cluster
CSS101101:034352+154025	55.96472	15.67365	20101101.42	18.20	1011011150204123200	yes	12320	yes	2016-11-09	12320	yes	SN/CV SDSS mag >22,5
